,Cluster,Organization,Conditionality,Restriction,Delivery mechanism,"Status (Completed, Ongoing, planned)",April Individuals,Region,District
671,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,420,Hiraan,Belet Weyne
672,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,660,Hiraan,Belet Weyne
673,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,276,Hiraan,Belet Weyne
674,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,1062,Hiraan,Belet Weyne
675,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,780,Hiraan,Belet Weyne
676,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,246,Hiraan,Belet Weyne
677,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,1098,Hiraan,Belet Weyne
678,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,300,Hiraan,Belet Weyne
679,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,1080,Hiraan,Belet Weyne
680,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,1320,Hiraan,Belet Weyne
681,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,390,Hiraan,Belet Weyne
682,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,,Hiraan,Bulo Burto
683,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,,Hiraan,Bulo Burto
684,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,,Hiraan,Bulo Burto
685,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,,Hiraan,Bulo Burto
686,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,,Hiraan,Bulo Burto
687,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,,Hiraan,Bulo Burto
688,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,,Hiraan,Bulo Burto
689,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,,Hiraan,Bulo Burto
690,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,,Hiraan,Bulo Burto
691,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,,Hiraan,Bulo Burto
692,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,,Hiraan,Bulo Burto
693,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,,Hiraan,Bulo Burto
694,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,,Hiraan,Bulo Burto
695,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,,Hiraan,Bulo Burto
696,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,,Hiraan,Bulo Burto
697,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,720,Gedo,Baardheere
698,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,780,Gedo,Baardheere
699,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,720,Gedo,Baardheere
700,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,720,Gedo,Baardheere
701,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,720,Gedo,Baardheere
702,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,780,Gedo,Baardheere
703,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,600,Gedo,Baardheere
704,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,900,Gedo,Baardheere
705,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,720,Gedo,Baardheere
706,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,840,Gedo,Baardheere
707,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,150,Middle Shabelle,Balcad
708,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,180,Middle Shabelle,Balcad
709,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,900,Middle Shabelle,Balcad
710,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,840,Middle Shabelle,Balcad
711,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,720,Middle Shabelle,Balcad
712,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,180,Middle Shabelle,Balcad
713,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,960,Middle Shabelle,Balcad
714,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,210,Middle Shabelle,Balcad
715,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,840,Middle Shabelle,Balcad
716,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,750,Middle Shabelle,Balcad
717,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,540,Middle Shabelle,Balcad
718,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,420,Middle Shabelle,Balcad
719,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,270,Middle Shabelle,Balcad
720,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,240,Middle Shabelle,Balcad
721,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,4872,Lower Shabelle,Qoryoley
722,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,1200,Lower Shabelle,Qoryoley
723,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,2400,Lower Shabelle,Qoryoley
724,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,1800,Lower Shabelle,Qoryoley
725,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,2076,Lower Shabelle,Qoryoley
726,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,2076,Lower Shabelle,Qoryoley
727,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,2076,Lower Shabelle,Qoryoley
728,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,1008,Lower Shabelle,Afgoye
729,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,1032,Lower Shabelle,Afgoye
730,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,1014,Lower Shabelle,Afgoye
731,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,612,Lower Shabelle,Afgoye
732,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,906,Lower Shabelle,Afgoye
733,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,960,Lower Shabelle,Afgoye
734,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,720,Lower Shabelle,Afgoye
735,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,648,Lower Shabelle,Afgoye
736,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,480,Hiraan,Jalalaqsi
737,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,420,Hiraan,Jalalaqsi
738,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,480,Hiraan,Jalalaqsi
739,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,180,Hiraan,Jalalaqsi
740,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,900,Hiraan,Jalalaqsi
741,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,2040,Hiraan,Jalalaqsi
742,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,720,Hiraan,Jalalaqsi
743,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,600,Hiraan,Jalalaqsi
744,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,360,Hiraan,Jalalaqsi
745,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,1320,Hiraan,Jalalaqsi
746,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,660,Hiraan,Jalalaqsi
747,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,540,Hiraan,Jalalaqsi
748,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,450,Awdal,Borama
749,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,210,Awdal,Borama
750,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,240,Awdal,Borama
751,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,150,Awdal,Borama
752,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,150,Awdal,Borama
753,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,150,Awdal,Borama
754,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,240,Awdal,Borama
755,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,150,Awdal,Borama
756,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,150,Awdal,Borama
757,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,600,Awdal,Borama
758,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,210,Awdal,Borama
759,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,180,Awdal,Borama
760,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,120,Awdal,Borama
761,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,180,Awdal,Borama
762,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,120,Awdal,Borama
763,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,600,Awdal,Borama
764,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,300,Woqooyi Galbeed,Hargeysa
765,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,300,Woqooyi Galbeed,Hargeysa
766,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,300,Woqooyi Galbeed,Hargeysa
767,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,300,Woqooyi Galbeed,Hargeysa
768,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,300,Woqooyi Galbeed,Hargeysa
769,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,300,Woqooyi Galbeed,Hargeysa
770,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,300,Woqooyi Galbeed,Hargeysa
771,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,300,Woqooyi Galbeed,Hargeysa
772,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,300,Woqooyi Galbeed,Hargeysa
773,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,300,Woqooyi Galbeed,Hargeysa
774,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,300,Woqooyi Galbeed,Hargeysa
775,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,300,Woqooyi Galbeed,Hargeysa
776,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,300,Woqooyi Galbeed,Gebiley
777,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,300,Woqooyi Galbeed,Gebiley
778,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,360,Woqooyi Galbeed,Gebiley
779,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,300,Woqooyi Galbeed,Gebiley
780,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,480,Woqooyi Galbeed,Gebiley
781,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,360,Woqooyi Galbeed,Gebiley
782,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,420,Woqooyi Galbeed,Gebiley
783,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,360,Woqooyi Galbeed,Gebiley
784,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,360,Woqooyi Galbeed,Gebiley
785,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,360,Woqooyi Galbeed,Gebiley
786,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,168,Gedo,Garbahaarey
787,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,168,Gedo,Garbahaarey
788,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,168,Gedo,Garbahaarey
789,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,168,Gedo,Garbahaarey
790,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,168,Gedo,Garbahaarey
791,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,1560,Galgaduud,Dhuusamarreeb
792,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,672,Galgaduud,Dhuusamarreeb
793,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,1128,Lower Shabelle,Marka
794,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,1932,Lower Shabelle,Marka
795,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,606,Lower Shabelle,Marka
796,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,132,Sool,Taleex
797,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,138,Sool,Taleex
798,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,156,Sool,Taleex
799,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,186,Sool,Taleex
800,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,180,Sool,Taleex
801,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,408,Sool,Taleex
802,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,408,Lower Shabelle,Marka
803,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,342,Lower Shabelle,Marka
804,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,498,Lower Shabelle,Marka
805,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,378,Lower Shabelle,Marka
806,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,426,Lower Shabelle,Marka
807,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,354,Lower Shabelle,Marka
808,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,588,Galgaduud,Dhuusamarreeb
809,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,522,Galgaduud,Dhuusamarreeb
810,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,360,Galgaduud,Dhuusamarreeb
811,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,312,Galgaduud,Dhuusamarreeb
812,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,138,Galgaduud,Dhuusamarreeb
813,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,552,Lower Shabelle,Marka
814,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,120,Lower Shabelle,Marka
815,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,174,Lower Shabelle,Marka
816,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,1596,Lower Shabelle,Marka
817,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,720,Lower Shabelle,Marka
818,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,276,Lower Shabelle,Marka
819,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,504,Lower Shabelle,Marka
820,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,126,Lower Shabelle,Marka
821,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,108,Lower Shabelle,Marka
822,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,96,Lower Shabelle,Marka
823,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,102,Lower Shabelle,Marka
824,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,132,Lower Shabelle,Marka
825,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,54,Lower Shabelle,Marka
826,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,294,Lower Shabelle,Marka
827,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,144,Lower Shabelle,Marka
828,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,84,Lower Shabelle,Marka
829,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,366,Lower Shabelle,Marka
830,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,912,Mudug,Hobyo
831,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,918,Mudug,Hobyo
832,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,918,Mudug,Hobyo
833,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,1008,Mudug,Hobyo
834,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,984,Mudug,Hobyo
835,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,966,Mudug,Hobyo
836,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,924,Mudug,Hobyo
837,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,1002,Mudug,Hobyo
838,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,978,Mudug,Hobyo
839,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,990,Mudug,Hobyo
840,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,840,Bakool,Ceelbarde
841,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,420,Bakool,Ceelbarde
842,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,480,Bakool,Ceelbarde
843,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,840,Bakool,Ceelbarde
844,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,240,Mudug,Hobyo
845,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,366,Mudug,Hobyo
846,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,234,Mudug,Hobyo
847,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,288,Mudug,Hobyo
848,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,318,Mudug,Hobyo
849,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,180,Mudug,Hobyo
850,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,294,Mudug,Hobyo
851,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,840,Bakool,Ceelbarde
852,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,840,Bakool,Ceelbarde
853,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,240,Bakool,Ceelbarde
854,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,360,Bakool,Ceelbarde
855,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,300,Bakool,Ceelbarde
856,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,1104,Bakool,Ceelbarde
857,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,360,Bakool,Ceelbarde
858,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,240,Bakool,Ceelbarde
859,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,1272,Bay,Buur Hakaba
860,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,1200,Bay,Buur Hakaba
861,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,1680,Bakool,Ceelbarde
862,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,840,Bakool,Ceelbarde
863,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,840,Bakool,Ceelbarde
864,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,1104,Bay,Buur Hakaba
865,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,1194,Bay,Buur Hakaba
866,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,1230,Bay,Buur Hakaba
867,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,1146,Bay,Buur Hakaba
868,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,1140,Bay,Buur Hakaba
869,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,1314,Bay,Buur Hakaba
870,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,480,Middle Shabelle,Cadale
871,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,402,Middle Shabelle,Cadale
872,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,516,Middle Shabelle,Cadale
873,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,462,Middle Shabelle,Cadale
874,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,486,Middle Shabelle,Cadale
875,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,516,Middle Shabelle,Cadale
876,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,252,Bay,Buur Hakaba
877,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,240,Bay,Buur Hakaba
878,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,222,Bay,Buur Hakaba
879,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,240,Bay,Buur Hakaba
880,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,246,Bay,Buur Hakaba
881,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,228,Bay,Buur Hakaba
882,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,228,Bay,Buur Hakaba
883,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,264,Bay,Buur Hakaba
884,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,576,Middle Shabelle,Cadale
885,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,552,Middle Shabelle,Cadale
886,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,966,Lower Shabelle,Wanla Weyn
887,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,1590,Lower Shabelle,Wanla Weyn
888,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,804,Lower Shabelle,Wanla Weyn
889,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,660,Lower Shabelle,Wanla Weyn
890,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,246,Gedo,Ceel Waaq
891,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,228,Gedo,Ceel Waaq
892,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,96,Middle Shabelle,Cadale
893,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,96,Middle Shabelle,Cadale
894,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,114,Middle Shabelle,Cadale
895,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,84,Middle Shabelle,Cadale
896,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,84,Middle Shabelle,Cadale
897,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,114,Middle Shabelle,Cadale
898,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,114,Middle Shabelle,Cadale
899,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,84,Middle Shabelle,Cadale
900,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,114,Middle Shabelle,Cadale
901,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,510,Middle Shabelle,Cadale
902,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,252,Gedo,Ceel Waaq
903,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,348,Gedo,Ceel Waaq
904,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,336,Gedo,Ceel Waaq
905,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,288,Gedo,Ceel Waaq
906,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,336,Gedo,Ceel Waaq
907,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,276,Gedo,Ceel Waaq
908,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,318,Gedo,Ceel Waaq
909,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,246,Gedo,Ceel Waaq
910,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,192,Gedo,Ceel Waaq
911,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,228,Gedo,Ceel Waaq
912,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,258,Gedo,Ceel Waaq
913,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,480,Gedo,Ceel Waaq
914,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,804,Lower Shabelle,Wanla Weyn
915,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,60,Gedo,Ceel Waaq
916,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,36,Gedo,Ceel Waaq
917,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,36,Gedo,Ceel Waaq
918,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,36,Gedo,Ceel Waaq
919,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,48,Gedo,Ceel Waaq
920,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,30,Gedo,Ceel Waaq
921,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,78,Gedo,Ceel Waaq
922,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,72,Gedo,Ceel Waaq
923,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,30,Gedo,Ceel Waaq
924,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,36,Gedo,Ceel Waaq
925,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,84,Gedo,Ceel Waaq
926,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,72,Gedo,Ceel Waaq
927,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,36,Gedo,Ceel Waaq
928,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,114,Gedo,Ceel Waaq
929,Food security,FAO,Unconditional,Unrestricted,Cash in hand,ongoing,72,Gedo,Ceel Waaq
930,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,168,Gedo,Ceel Waaq
931,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,816,Lower Shabelle,Barawe
932,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,510,Lower Shabelle,Barawe
933,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,660,Lower Shabelle,Barawe
934,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,450,Lower Shabelle,Barawe
935,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,828,Lower Shabelle,Barawe
936,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,738,Lower Shabelle,Barawe
937,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,738,Lower Shabelle,Barawe
938,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,690,Lower Shabelle,Barawe
939,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,870,Lower Shabelle,Barawe
940,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,900,Lower Shabelle,Barawe
941,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,426,Gedo,Luuq
942,Food security,FAO,Cash for Work,Unrestricted,Cash in hand,ongoing,282,Gedo,Luuq
